,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
692,71062 - פיזיקה למדעי החקלאות ב - תשף - שעור א,2019,Semester 2,2019-20 -> 71062 PHYSICS FOR AGRONOMY MAJORS B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2214e23517-c37e-4565-9a46-aadf008a39a1%22
693,71062 פיזיקה למדעי החקלאות תשעט,2018,Semester 2,2018-19 -> 71062 PHYSICS FOR AGRONOMY MAJORS B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22baf6cc31-f77e-42fe-8255-abe400b64ccc%22
720,71062 פיזיקה תשעח,2017,Semester 2,,
725,65543 תפעול המלון תשף,2019,Semester 2,2019-20 -> 65543 HOTEL OPERATION,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225f255d93-fbc6-4f46-b7c2-aadf008a7997%22
730,71403 - ביולוגיה של העץ - תשף - שעור א,2019,Semester 2,2019-20 -> 71403 TREE BIOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22ef973cfe-350c-4484-a698-aadf008c0bdc%22
731,71403 ביולוגיה של העץ תשעט,2018,Semester 2,2018-19 -> 71403 TREE BIOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2225001085-c984-4331-b3ef-abe400b7e42b%22
758,71403 ביולוגיה של העץ תשעח,2017,Semester 2,,
783,71403 ביולוגיה של העץ גוזה גרינצוויג אלון סמך ,2016,Semester 2,,
810,71014 - חדוא II למדעים הניסויים - תשף - שעור א,2019,Semester 2,2019-20 -> 71014 CALCULUS II FOR EXPERIMENTAL STUDIES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2245e4b4e2-ac2b-4b5d-a7c6-aadf00898137%22
814,71014 מתמטיקה 2 תשעט,2018,Semester 2,2018-19 -> 71014 MATHEMATICS II,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2270f11c2a-ee22-4611-aa3d-abe400b5c084%22
